,year,state,lbs_per_acre,commodity
488,2007,WISCONSIN,6120.0,CHERRIES
0,2019,US TOTAL,21980.0,PUMPKINS
1,2019,CALIFORNIA,25500.0,PUMPKINS
2,2019,ILLINOIS,38500.0,PUMPKINS
3,2019,INDIANA,24500.0,PUMPKINS
4,2019,MICHIGAN,15000.0,PUMPKINS
5,2019,NEW YORK,7200.0,PUMPKINS
6,2019,NORTH CAROLINA,23000.0,PUMPKINS
7,2019,OHIO,12500.0,PUMPKINS
8,2019,OREGON,31500.0,PUMPKINS
9,2019,OTHER STATES,28200.0,PUMPKINS
10,2019,PENNSYLVANIA,10500.0,PUMPKINS
12,2019,VIRGINIA,16500.0,PUMPKINS
13,2019,WASHINGTON,17000.0,PUMPKINS
15,2018,US TOTAL,22790.0,PUMPKINS
16,2018,CALIFORNIA,27500.0,PUMPKINS
17,2018,ILLINOIS,47000.0,PUMPKINS
18,2018,INDIANA,23000.0,PUMPKINS
19,2018,MICHIGAN,19000.0,PUMPKINS
20,2018,MINNESOTA,30500.0,PUMPKINS
21,2018,NEW JERSEY,6500.0,PUMPKINS
22,2018,NEW YORK,8200.0,PUMPKINS
23,2018,NORTH CAROLINA,11000.0,PUMPKINS
24,2018,OHIO,18000.0,PUMPKINS
25,2018,OREGON,27000.0,PUMPKINS
26,2018,PENNSYLVANIA,11500.0,PUMPKINS
27,2018,TENNESSEE,7300.0,PUMPKINS
28,2018,TEXAS,33000.0,PUMPKINS
29,2018,VIRGINIA,20500.0,PUMPKINS
30,2018,WASHINGTON,12500.0,PUMPKINS
31,2018,WISCONSIN,6600.0,PUMPKINS
32,2017,US TOTAL,22020.0,PUMPKINS
33,2017,CALIFORNIA,33000.0,PUMPKINS
34,2017,ILLINOIS,37000.0,PUMPKINS
35,2017,INDIANA,16000.0,PUMPKINS
36,2017,MICHIGAN,15500.0,PUMPKINS
37,2017,MINNESOTA,9000.0,PUMPKINS
38,2017,NEW JERSEY,9500.0,PUMPKINS
39,2017,NEW YORK,10500.0,PUMPKINS
40,2017,NORTH CAROLINA,21000.0,PUMPKINS
41,2017,OHIO,17000.0,PUMPKINS
42,2017,OREGON,18000.0,PUMPKINS
43,2017,PENNSYLVANIA,16500.0,PUMPKINS
44,2017,TENNESSEE,8900.0,PUMPKINS
45,2017,TEXAS,19500.0,PUMPKINS
46,2017,VIRGINIA,22500.0,PUMPKINS
47,2017,WASHINGTON,18000.0,PUMPKINS
48,2017,WISCONSIN,15000.0,PUMPKINS
49,2016,US TOTAL,23030.0,PUMPKINS
50,2016,CALIFORNIA,27000.0,PUMPKINS
51,2016,ILLINOIS,39000.0,PUMPKINS
52,2016,INDIANA,13500.0,PUMPKINS
53,2016,MICHIGAN,15500.0,PUMPKINS
54,2016,MINNESOTA,11000.0,PUMPKINS
55,2016,NEW JERSEY,10000.0,PUMPKINS
56,2016,NEW YORK,11500.0,PUMPKINS
57,2016,NORTH CAROLINA,26000.0,PUMPKINS
58,2016,OHIO,15000.0,PUMPKINS
59,2016,OREGON,23000.0,PUMPKINS
60,2016,OTHER STATES,0.0,PUMPKINS
61,2016,PENNSYLVANIA,17000.0,PUMPKINS
62,2016,TENNESSEE,15000.0,PUMPKINS
63,2016,TEXAS,41000.0,PUMPKINS
64,2016,VIRGINIA,17000.0,PUMPKINS
65,2016,WASHINGTON,18000.0,PUMPKINS
66,2016,WISCONSIN,11000.0,PUMPKINS
67,2015,US TOTAL,18400.0,PUMPKINS
68,2015,CALIFORNIA,24000.0,PUMPKINS
69,2015,ILLINOIS,21500.0,PUMPKINS
70,2015,MICHIGAN,15500.0,PUMPKINS
71,2015,NEW YORK,11000.0,PUMPKINS
72,2015,OHIO,15500.0,PUMPKINS
73,2015,PENNSYLVANIA,15500.0,PUMPKINS
74,2014,US TOTAL,26500.0,PUMPKINS
75,2014,CALIFORNIA,31000.0,PUMPKINS
76,2014,ILLINOIS,37500.0,PUMPKINS
77,2014,MICHIGAN,16000.0,PUMPKINS
78,2014,NEW YORK,13500.0,PUMPKINS
79,2014,OHIO,16500.0,PUMPKINS
80,2014,PENNSYLVANIA,18000.0,PUMPKINS
81,2013,US TOTAL,22300.0,PUMPKINS
82,2013,CALIFORNIA,33000.0,PUMPKINS
83,2013,ILLINOIS,27000.0,PUMPKINS
84,2013,MICHIGAN,15500.0,PUMPKINS
85,2013,NEW YORK,16000.0,PUMPKINS
86,2013,OHIO,16500.0,PUMPKINS
87,2013,PENNSYLVANIA,14500.0,PUMPKINS
88,2012,US TOTAL,23800.0,PUMPKINS
89,2012,CALIFORNIA,34000.0,PUMPKINS
90,2012,ILLINOIS,27500.0,PUMPKINS
91,2012,MICHIGAN,15000.0,PUMPKINS
92,2012,NEW YORK,17000.0,PUMPKINS
93,2012,OHIO,24000.0,PUMPKINS
94,2012,PENNSYLVANIA,18500.0,PUMPKINS
95,2011,US TOTAL,22800.0,PUMPKINS
96,2011,CALIFORNIA,31000.0,PUMPKINS
97,2011,ILLINOIS,32500.0,PUMPKINS
98,2011,MICHIGAN,14500.0,PUMPKINS
99,2011,NEW YORK,11000.0,PUMPKINS
100,2011,OHIO,16500.0,PUMPKINS
101,2011,PENNSYLVANIA,18000.0,PUMPKINS
102,2010,US TOTAL,22200.0,PUMPKINS
103,2010,CALIFORNIA,32000.0,PUMPKINS
104,2010,ILLINOIS,28500.0,PUMPKINS
105,2010,MICHIGAN,14000.0,PUMPKINS
106,2010,NEW YORK,21500.0,PUMPKINS
107,2010,OHIO,16000.0,PUMPKINS
108,2010,PENNSYLVANIA,14500.0,PUMPKINS
109,2009,US TOTAL,21100.0,PUMPKINS
110,2009,CALIFORNIA,29000.0,PUMPKINS
111,2009,ILLINOIS,34500.0,PUMPKINS
112,2009,MICHIGAN,11000.0,PUMPKINS
113,2009,NEW YORK,12500.0,PUMPKINS
114,2009,OHIO,16500.0,PUMPKINS
115,2009,PENNSYLVANIA,13000.0,PUMPKINS
116,2008,US TOTAL,24600.0,PUMPKINS
117,2008,CALIFORNIA,28000.0,PUMPKINS
118,2008,ILLINOIS,39500.0,PUMPKINS
119,2008,MICHIGAN,14500.0,PUMPKINS
120,2008,NEW YORK,18000.0,PUMPKINS
121,2008,OHIO,15500.0,PUMPKINS
122,2008,PENNSYLVANIA,18500.0,PUMPKINS
123,2007,US TOTAL,25000.0,PUMPKINS
124,2007,CALIFORNIA,24000.0,PUMPKINS
125,2007,ILLINOIS,39500.0,PUMPKINS
126,2007,MICHIGAN,11500.0,PUMPKINS
127,2007,NEW YORK,18000.0,PUMPKINS
128,2007,OHIO,30500.0,PUMPKINS
129,2007,PENNSYLVANIA,12000.0,PUMPKINS
130,2006,US TOTAL,24000.0,PUMPKINS
131,2006,CALIFORNIA,25000.0,PUMPKINS
132,2006,ILLINOIS,38500.0,PUMPKINS
133,2006,MICHIGAN,15000.0,PUMPKINS
134,2006,NEW YORK,14500.0,PUMPKINS
135,2006,OHIO,20000.0,PUMPKINS
136,2006,PENNSYLVANIA,16000.0,PUMPKINS
137,2005,US TOTAL,24600.0,PUMPKINS
138,2005,CALIFORNIA,29000.0,PUMPKINS
139,2005,ILLINOIS,38500.0,PUMPKINS
140,2005,MICHIGAN,14500.0,PUMPKINS
141,2005,NEW YORK,15000.0,PUMPKINS
142,2005,OHIO,18000.0,PUMPKINS
143,2005,PENNSYLVANIA,17500.0,PUMPKINS
144,2004,US TOTAL,22500.0,PUMPKINS
145,2004,CALIFORNIA,27000.0,PUMPKINS
146,2004,ILLINOIS,36500.0,PUMPKINS
147,2004,MICHIGAN,14000.0,PUMPKINS
148,2004,NEW YORK,13000.0,PUMPKINS
149,2004,OHIO,18000.0,PUMPKINS
150,2004,PENNSYLVANIA,16000.0,PUMPKINS
151,2003,US TOTAL,20600.0,PUMPKINS
152,2003,CALIFORNIA,25000.0,PUMPKINS
153,2003,ILLINOIS,41000.0,PUMPKINS
154,2003,MICHIGAN,14000.0,PUMPKINS
155,2003,NEW YORK,14000.0,PUMPKINS
156,2003,OHIO,17000.0,PUMPKINS
157,2003,PENNSYLVANIA,10000.0,PUMPKINS
158,2002,US TOTAL,20800.0,PUMPKINS
159,2002,CALIFORNIA,28000.0,PUMPKINS
160,2002,ILLINOIS,32000.0,PUMPKINS
161,2002,MICHIGAN,12000.0,PUMPKINS
162,2002,NEW YORK,17000.0,PUMPKINS
163,2002,OHIO,16500.0,PUMPKINS
164,2002,PENNSYLVANIA,15500.0,PUMPKINS
165,2001,US TOTAL,22400.0,PUMPKINS
166,2001,CALIFORNIA,24000.0,PUMPKINS
167,2001,ILLINOIS,37500.0,PUMPKINS
168,2001,MICHIGAN,12000.0,PUMPKINS
169,2001,NEW YORK,21000.0,PUMPKINS
170,2001,OHIO,16000.0,PUMPKINS
171,2001,PENNSYLVANIA,15000.0,PUMPKINS
172,2000,US TOTAL,25200.0,PUMPKINS
173,2000,CALIFORNIA,30500.0,PUMPKINS
174,2000,ILLINOIS,41000.0,PUMPKINS
175,2000,MICHIGAN,16000.0,PUMPKINS
176,2000,NEW YORK,20000.0,PUMPKINS
177,2000,OHIO,16500.0,PUMPKINS
178,2000,PENNSYLVANIA,17000.0,PUMPKINS
