,year,state,lbs_per_acre,commodity
104,2007,MONTANA,6780.0,SWEET CHERRIES
105,2007,NEW YORK,3400.0,SWEET CHERRIES
106,2007,OREGON,5600.0,SWEET CHERRIES
108,2007,UTAH,4540.0,SWEET CHERRIES
109,2007,WASHINGTON,9520.0,SWEET CHERRIES
1,2019,US TOTAL,37500.0,APPLES
2,2019,US TOTAL,6630.0,BLUEBERRIES
3,2019,US TOTAL,2790.0,BLUEBERRIES
4,2019,US TOTAL,7680.0,CHERRIES
6,2019,CALIFORNIA,24000.0,APPLES
7,2019,CALIFORNIA,10100.0,BLUEBERRIES
8,2019,FLORIDA,4740.0,BLUEBERRIES
9,2019,GEORGIA,4420.0,BLUEBERRIES
10,2019,MAINE,2790.0,BLUEBERRIES
11,2019,MICHIGAN,30500.0,APPLES
12,2019,MICHIGAN,4120.0,BLUEBERRIES
13,2019,MICHIGAN,6650.0,CHERRIES
14,2019,NEW JERSEY,5090.0,BLUEBERRIES
15,2019,NEW YORK,30000.0,APPLES
16,2019,NEW YORK,2700.0,CHERRIES
17,2019,NORTH CAROLINA,4160.0,BLUEBERRIES
18,2019,OREGON,30000.0,APPLES
19,2019,OREGON,11700.0,BLUEBERRIES
20,2019,PENNSYLVANIA,26000.0,APPLES
21,2019,UTAH,18000.0,CHERRIES
22,2019,VIRGINIA,20000.0,APPLES
23,2019,WASHINGTON,44200.0,APPLES
24,2019,WASHINGTON,9760.0,BLUEBERRIES
25,2019,WASHINGTON,10700.0,CHERRIES
26,2019,WISCONSIN,5700.0,CHERRIES
28,2018,US TOTAL,35200.0,APPLES
29,2018,US TOTAL,6300.0,BLUEBERRIES
30,2018,US TOTAL,2680.0,BLUEBERRIES
31,2018,US TOTAL,8470.0,CHERRIES
33,2018,CALIFORNIA,20000.0,APPLES
34,2018,CALIFORNIA,9840.0,BLUEBERRIES
35,2018,FLORIDA,3950.0,BLUEBERRIES
36,2018,GEORGIA,4100.0,BLUEBERRIES
37,2018,MAINE,2680.0,BLUEBERRIES
38,2018,MICHIGAN,32300.0,APPLES
39,2018,MICHIGAN,3560.0,BLUEBERRIES
40,2018,MICHIGAN,7600.0,CHERRIES
41,2018,NEW JERSEY,4940.0,BLUEBERRIES
42,2018,NEW YORK,33200.0,APPLES
44,2018,NORTH CAROLINA,4500.0,BLUEBERRIES
45,2018,OREGON,34000.0,APPLES
46,2018,OREGON,10200.0,BLUEBERRIES
47,2018,OTHER STATES,10100.0,CHERRIES
48,2018,PENNSYLVANIA,25000.0,APPLES
49,2018,UTAH,14500.0,CHERRIES
50,2018,VIRGINIA,21000.0,APPLES
51,2018,WASHINGTON,39400.0,APPLES
52,2018,WASHINGTON,9470.0,BLUEBERRIES
54,2018,WISCONSIN,7270.0,CHERRIES
55,2017,US TOTAL,35200.0,APPLES
56,2017,US TOTAL,7350.0,CHERRIES
57,2017,CALIFORNIA,17700.0,APPLES
58,2017,CONNECTICUT,16400.0,APPLES
59,2017,IDAHO,22600.0,APPLES
60,2017,ILLINOIS,13200.0,APPLES
61,2017,MAINE,14500.0,APPLES
62,2017,MARYLAND,26900.0,APPLES
63,2017,MASSACHUSETTS,15000.0,APPLES
64,2017,MICHIGAN,27300.0,APPLES
