,year,state,count_colonies
157,2018,MAINE,7150.0
158,2018,MARYLAND,7375.0
159,2018,MASSACHUSETTS,5025.0
160,2018,MICHIGAN,54625.0
161,2018,MINNESOTA,78250.0
162,2018,MISSISSIPPI,25000.0
163,2018,MISSOURI,8750.0
164,2018,MONTANA,82000.0
165,2018,NEBRASKA,28500.0
166,2018,NEW JERSEY,10100.0
167,2018,NEW MEXICO,5850.0
168,2018,NEW YORK,38500.0
169,2018,NORTH CAROLINA,17125.0
170,2018,NORTH DAKOTA,256250.0
171,2018,OHIO,13625.0
172,2018,OKLAHOMA,9200.0
173,2018,OREGON,81750.0
174,2018,OTHER STATES,5765.0
175,2018,PENNSYLVANIA,17750.0
176,2018,SOUTH CAROLINA,11750.0
177,2018,SOUTH DAKOTA,85250.0
178,2018,TENNESSEE,8750.0
179,2018,TEXAS,184500.0
180,2018,US TOTAL,2782215.0
181,2018,UTAH,19750.0
182,2018,VERMONT,6125.0
183,2018,VIRGINIA,6625.0
184,2018,WASHINGTON,62500.0
185,2018,WEST VIRGINIA,6550.0
186,2018,WISCONSIN,39000.0
187,2018,WYOMING,19250.0
188,2019,ALABAMA,6166.666666666667
189,2019,ARIZONA,27333.333333333332
190,2019,ARKANSAS,22333.333333333332
191,2019,CALIFORNIA,830000.0
192,2019,COLORADO,21666.666666666668
193,2019,CONNECTICUT,3766.6666666666665
194,2019,FLORIDA,260000.0
195,2019,GEORGIA,118333.33333333333
196,2019,HAWAII,16833.333333333332
197,2019,IDAHO,112666.66666666667
198,2019,ILLINOIS,11833.333333333334
199,2019,INDIANA,12500.0
200,2019,IOWA,23166.666666666668
201,2019,KANSAS,5600.0
202,2019,KENTUCKY,6733.333333333333
203,2019,LOUISIANA,44000.0
204,2019,MAINE,10000.0
205,2019,MARYLAND,7333.333333333333
206,2019,MASSACHUSETTS,7433.333333333333
207,2019,MICHIGAN,67333.33333333333
208,2019,MINNESOTA,80000.0
209,2019,MISSISSIPPI,23333.333333333332
210,2019,MISSOURI,9333.333333333334
211,2019,MONTANA,85000.0
212,2019,NEBRASKA,30166.666666666668
213,2019,NEW JERSEY,12500.0
214,2019,NEW MEXICO,4400.0
215,2019,NEW YORK,51333.333333333336
216,2019,NORTH CAROLINA,16666.666666666668
217,2019,NORTH DAKOTA,347333.3333333333
218,2019,OHIO,16333.333333333334
219,2019,OKLAHOMA,11666.666666666666
